MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
YDL040C-MONOMER	YDL040C	P12945	N-terminal acetyltransferase	
G3O-29527-MONOMER	G3O-29527	Q99385	VaCuolar H+/Ca2+ eXchanger	
G3O-31062-MONOMER	G3O-31062	P38725	seriPAUperin	
G3O-30779-MONOMER	G3O-30779	P53241	Vitamin H Transporter	
G3O-31919-MONOMER	G3O-31919	P35718	RNA Polymerase C	
G3O-32170-MONOMER	G3O-32170	Q07915	Ribosomal-Like Protein	
G3O-34376-MONOMER	G3O-34376	Q9ZZX1	AI5_ALPHA	
G3O-32587-MONOMER	G3O-32587	Q8TGT1	Unknown	
YLR070C-MONOMER	YLR070C	Q07993	Xylitol dehydrogenase	
G3O-32311-MONOMER	G3O-32311	P33310	MultiDrug resistance-Like	
G3O-29780-MONOMER	G3O-29780	P49686	NUclear Pore	
YGL063W-MONOMER	YGL063W	P53167	mitochondrial tRNA pseudouridine<sup>27/28</sup> synthase	tRNA pseudouridine synthase 2, tRNA pseudouridylate synthase 2
G3O-32980-MONOMER	G3O-32980	I2HB70	Unknown	
G3O-31204-MONOMER	G3O-31204	P38861	Nonsense-Mediated mRNA Decay	
G3O-28961-MONOMER	G3O-28961	P34227	PeroxiRedoXin	
G3O-33409-MONOMER	G3O-33409	Q3E808	2-Deoxy-Glucose Resistant 1	
G3O-30202-MONOMER	G3O-30202	P39925	ATPase Family Gene	
G3O-32749-MONOMER	G3O-32749	Q04213	Iswi One Complex	
G3O-29354-MONOMER	G3O-29354	P25361	Unknown	
YNR041C-MONOMER	YNR041C	P32378	hexaprenyl-diphosphate hexaprenyltransferase	4-hydroxybenzoate polyprenyltransferase, 4-hydroxybenzoate hexaprenyltransferase, 4-hydroxybenzoate:hexaprenyl-diphosphate hexaprenyltransferase, 4-hydroxybenzoate:hexaprenyl-diphosphate transferase
G3O-30621-MONOMER	G3O-30621	P53129	MONensin sensitivity	
G3O-33158-MONOMER	G3O-33158	P53552	suppressor of the Transcriptional defect of Hpr1 by Overexpression	
G3O-33782-MONOMER	G3O-33782	Q08749	Translocase of the Inner Mitochondrial membrane	
G3O-29922-MONOMER	G3O-29922	Q06385	Vacuolar Protein Sorting	
G3O-29098-MONOMER	G3O-29098	P38120	Mitochondrial Ribosomal Protein, Small subunit	
G3O-31729-MONOMER	G3O-31729	P47141	Ribosomal Small subunit of Mitochondria	
G3O-34185-MONOMER	G3O-34185	P37366	CCL1	
G3O-33554-MONOMER	G3O-33554	Q12339	U Three-associated Protein	
G3O-29741-MONOMER	G3O-29741	P53379	Multicopy suppressor of Kex2 Cold sensitivity	
G3O-31495-MONOMER	G3O-31495	P40992	Regulation of RNA polymerase I	
G3O-31046-MONOMER	G3O-31046	P38740	Unknown	
G3O-33956-MONOMER	G3O-33956	P39073	Suppressor of SNf1	
G3O-30347-MONOMER	G3O-30347	P40975	Plasma Membrane Proteolipid	
G3O-32154-MONOMER	G3O-32154	Q12235	Yeast Cysteine Transporter	
YCL057W-MONOMER	YCL057W	P25375	saaccharolysin	
G3O-29511-MONOMER	G3O-29511	Q12513	Translation Machinery Associated	
G3O-32571-MONOMER	G3O-32571	Q3E747	Unknown	
G3O-30763-MONOMER	G3O-30763	P32338	Regulator of MEiosis	
YKL220C-MONOMER	YKL220C	P36033	ferric reductase	
G3O-31903-MONOMER	G3O-31903	P32332	OxaloAcetate Carrier	
G3O-32964-MONOMER	G3O-32964	P36224	Just Nuclear Migration	
G3O-34348-MONOMER	G3O-34348	O14464	Restriction of Telomere Capping	
G3O-33370-MONOMER	G3O-33370	P53752	Unknown	
G3O-32295-MONOMER	G3O-32295	Q06244	21S rRNA pseudouridine<sup>2819</sup> synthase	pseudouridylate synthase PUS5, pseudouridine synthase 5
YFR025C-MONOMER	YFR025C	P38635	histidinolphosphatase	
G3O-30186-MONOMER	G3O-30186	P39975	Required for Meiotic nuclear Division	
G3O-29338-MONOMER	G3O-29338	P25351	Unknown	
G3O-31188-MONOMER	G3O-31188	P17122	SPOrulation	
G3O-30605-MONOMER	G3O-30605	P53141	Myosin Light Chain	
G3O-28945-MONOMER	G3O-28945	P38194	Unknown	
G3O-32732-MONOMER	G3O-32732	Q04371	Unknown	
G3O-33766-MONOMER	G3O-33766	Q12192	Repression Factor of Middle sporulation element	
G3O-31713-MONOMER	G3O-31713	P47131	Unknown	
YNL221C-MONOMER	YNL221C	P41812	ribonuclease P	
G3O-34169-MONOMER	G3O-34169	Q12188	RECombination	
G3O-33141-MONOMER	G3O-33141	P53923	Needs Cla4 to Survive	
G3O-29724-MONOMER	G3O-29724	Q04608	Unknown	
G3O-29906-MONOMER	G3O-29906	Q06328	Yeast PQ-loop protein	
G3O-31030-MONOMER	G3O-31030	P38750	Unknown	
G3O-29082-MONOMER	G3O-29082	P16140	Vacuolar Membrane Atpase	
G3O-33537-MONOMER	G3O-33537	Q12462	PEroXin	
G3O-32138-MONOMER	G3O-32138	Q07845	GRC3	
G3O-31476-MONOMER	G3O-31476	Q3E739	Unknown	
YBR244W-MONOMER	YBR244W	P38143	Glutathione peroxidase	
G3O-33940-MONOMER	G3O-33940	P06777	RADiation sensitive	
G3O-32507-MONOMER	G3O-32507	Q06179	Found in Mitochondrial Proteome	
YKL106W-MONOMER	YKL106W	Q01802	aspartate aminotransferase	
G3O-30331-MONOMER	G3O-30331	P06839	RADiation sensitive	
G3O-32947-MONOMER	G3O-32947	P48510	DSK2	
G3O-29495-MONOMER	G3O-29495	Q07508	Lethal Unless Cap-binding complex is produced	
G3O-33354-MONOMER	G3O-33354	P53739	FliPase Kinase 1	
G3O-30747-MONOMER	G3O-30747	P53212	Unknown	
G3O-30170-MONOMER	G3O-30170	P32317	ATPase Family Gene	
G3O-31887-MONOMER	G3O-31887	P28319	Cell Wall Protein	
G3O-29322-MONOMER	G3O-29322	P25348	Mitochondrial Ribosomal Protein, Large subunit	
G3O-34311-MONOMER	G3O-34311	Q06580	Myo1p Light Chain	
G3O-33750-MONOMER	G3O-33750	P53549	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase	
G3O-32279-MONOMER	G3O-32279	P42900	Sigma Like Sequence	
G3O-31697-MONOMER	G3O-31697	P40413	Chaperonin Containing TCP-1	
YER099C-MONOMER	YER099C	P38620	ribose-phosphate pyrophosphokinase	
G3O-34151-MONOMER	G3O-34151	P32526	KARyogamy	
G3O-31172-MONOMER	G3O-31172	P38838	Weak Suppressor of Smt3	
G3O-30592-MONOMER	G3O-30592	P49687	NUclear Pore	
G3O-28929-MONOMER	G3O-28929	P38203	Like SM	
G3O-32715-MONOMER	G3O-32715	P40959	MVP1	
G3O-29708-MONOMER	G3O-29708	Q04549	Actin-Related Protein	
G3O-31013-MONOMER	G3O-31013	Q8TGU0	Unknown	
YNL012W-MONOMER	YNL012W	P53541	phospholipase B	
G3O-32120-MONOMER	G3O-32120	P14772	Bile Pigment Transporter	
G3O-33125-MONOMER	G3O-33125	P50947	PHOsphate metabolism	
G3O-29890-MONOMER	G3O-29890	Q05471	Sick With Rat8 ts	
YBR110W-MONOMER	YBR110W	P16661	Dol-PP-GlcNAc2:Man transferase	GDP-mannose: dolichyl diphosphate chitobiose mannosyl transferase, chitobiosyldiphosphodolichol &beta;-mannosyltransferase, beta-1,4-mannosyltransferase
G3O-32491-MONOMER	G3O-32491	P23287	CalciNeurin A	
G3O-29066-MONOMER	G3O-29066	P38087	Yeast Mitochondrial Carrier	
YJR148W-MONOMER	YJR148W	P47176	branched-chain amino acid transaminase	
G3O-33521-MONOMER	G3O-33521	Q12383	tRNA:m<small><sup>4</sup></small>X modification enzyme	tRNA methylase 13, tRNA [Gm4] methyltransferase, tRNA:m4X modification enzyme
G3O-32931-MONOMER	G3O-32931	Q04839	Good For Dbp5p	
G3O-31446-MONOMER	G3O-31446	Q04895	Degradation of Allantoin	
G3O-33338-MONOMER	G3O-33338	P53725	M-Phase Phosphoprotein 6 homologue	
G3O-33924-MONOMER	G3O-33924	Q12089	ATPase ExPression	
G3O-30314-MONOMER	G3O-30314	P10355	PETite colonies	
G3O-30153-MONOMER	G3O-30153	P39986	Sensitivity to Pichia Farinosa killer toxin	
G3O-29304-MONOMER	G3O-29304	P25577	Unknown	
G3O-29479-MONOMER	G3O-29479	P50623	UBiquitin-Conjugating	
G3O-33734-MONOMER	G3O-33734	Q08634	Unknown	
G3O-30731-MONOMER	G3O-30731	P53053	COnserved Sequence	
G3O-31681-MONOMER	G3O-31681	P47112	Topo-A Hypersensitive	
G3O-31871-MONOMER	G3O-31871	P36083	Unknown	
G3O-34134-MONOMER	G3O-34134	P04386	GALactose metabolism	
G3O-34295-MONOMER	G3O-34295	P10663	Mitochondrial Ribosomal Protein	
G3O-30576-MONOMER	G3O-30576	P53159	MonoPolar Spindle	
G3O-32263-MONOMER	G3O-32263	Q12354	YLR118C	
G3O-29691-MONOMER	G3O-29691	P35179	Sec Sixty-one Suppressor	
YER019W-MONOMER	YER019W	P40015	inositol phosphosphingolipids phospholipase C	
G3O-30943-MONOMER	G3O-30943	P53335	PinX1-Related gene	
G3O-31156-MONOMER	G3O-31156	P38822	BZZ1	
G3O-32103-MONOMER	G3O-32103	Q2V2P3	Unknown	
G3O-28912-MONOMER	G3O-28912	P38210	Low Dye Binding	
YBR006W-MONOMER	YBR006W	P38067	NAD(P)-dependent succinate semialdehyde dehydrogenase	
G3O-32699-MONOMER	G3O-32699	Q03210	NGL3	
G3O-32475-MONOMER	G3O-32475	Q06689	Unknown	
YMR239C-MONOMER	YMR239C	Q02555	ribonuclease III	
G3O-33109-MONOMER	G3O-33109	P53938	ER-localized and Oxidants Sensitive	
YJR032W-MONOMER	YJR032W	P47103	cyclophilin 40	
G3O-29874-MONOMER	G3O-29874	Q06668	OXA1 Multicopy Suppressor	
G3O-31387-MONOMER	G3O-31387	P16547	Outer Membrane	
G3O-32915-MONOMER	G3O-32915	Q04740	RNase H	
G3O-29050-MONOMER	G3O-29050	P15731	UBiquitin-Conjugating	
G3O-33322-MONOMER	G3O-33322	P32910	RNA Polymerase C	
G3O-33505-MONOMER	G3O-33505	P13902	INOsitol requiring	
G3O-30136-MONOMER	G3O-30136	P40002	Muc1 expressed Independent of TEC1	
G3O-31430-MONOMER	G3O-31430	P40567	MUD Synthetic Lethal	
G3O-29288-MONOMER	G3O-29288	P11710	cell FUSion	
G3O-33905-MONOMER	G3O-33905	Q8TGS2	YOL019W-A	
G3O-33718-MONOMER	G3O-33718	Q12234	Relieves Uso1-1 transport Defect	
G3O-30297-MONOMER	G3O-30297	P39958	GDP Dissociation Inhibitor	
G3O-29463-MONOMER	G3O-29463	Q07350	Pre-mRNA Processing	
G3O-31661-MONOMER	G3O-31661	P21651	RECombination	
G3O-34118-MONOMER	G3O-34118	Q12132	Up in StarVation	
G3O-30715-MONOMER	G3O-30715	P53064	Restores TBP Function	
G3O-30560-MONOMER	G3O-30560	P53177	tRNA wybutosine-synthesizing protein 3	tRNA<sup>Phe</sup>[7-[(3<i>S</i>)-(3-amino-3-carboxypropyl)-4-demethyl]wyosine-<i>N</i><sup>4</sup>]-methyltransferase
G3O-31855-MONOMER	G3O-31855	P35691	Translation Machinery Associated	
G3O-29675-MONOMER	G3O-29675	P54858	Unknown	
G3O-34279-MONOMER	G3O-34279	Q06522	Unknown	
G3O-30927-MONOMER	G3O-30927	P53320	Manganese Trafficking factor for Mitochondrial SOD2	
G3O-32247-MONOMER	G3O-32247	Q12347	High level expression Reduces Ty3 transposition	
YDR530C-MONOMER	YDR530C	P22108	5',5'''-P-1,P-4-tetraphosphate phosphorylase II	
G3O-32065-MONOMER	G3O-32065	P0CE68	New Full-length MRP-type Transporter	
YAL062W-MONOMER	YAL062W	P39708	NADP-dependent glutamate dehydrogenase 2 subunit	
G3O-31140-MONOMER	G3O-31140	P32465	HeXose Transporter	
G3O-32458-MONOMER	G3O-32458	P18496	ATP synthase	
G3O-28890-MONOMER	G3O-28890	Q05359	Emp24p/Erv25p Related Protein	
YJL139C-MONOMER	YJL139C	P26725	mannosyltransferase	
G3O-32683-MONOMER	G3O-32683	P11747	TATA binding protein-Associated Factor	
G3O-31371-MONOMER	G3O-31371	Q00245	Ras HOmolog	
YMR062C-MONOMER	YMR062C	Q04728	acetylornithine acetyltransferase	
YAL039C-MONOMER	YAL039C	P06182	cytochrome c heme lyase	
G3O-33093-MONOMER	G3O-33093	P53944	Methyltransferase	
G3O-29858-MONOMER	G3O-29858	Q06630	Mitochondrial Homologous DNA Recombination	
G3O-32455-MONOMER	G3O-32455	Q06010	STErile	
YJL121C-MONOMER	YJL121C	P46969	D-ribulose-5-Phosphate 3-epimerase	
G3O-29033-MONOMER	G3O-29033	P38083	Unknown	
G3O-33489-MONOMER	G3O-33489	Q12180	HALotolerance	
G3O-31368-MONOMER	G3O-31368	P40478	PORin	
G3O-31408-MONOMER	G3O-31408	P40449	Unknown	
G3O-32896-MONOMER	G3O-32896	Q03654	CErevisiae homolog of cdc Five	
G3O-33301-MONOMER	G3O-33301	P21705	Degradation of Allantoin	
G3O-30281-MONOMER	G3O-30281	P0CX42	Ribosomal Protein of the Large subunit	
G3O-30114-MONOMER	G3O-30114	Q3E829	Mph1-associated Histone-Fold protein	
G3O-29447-MONOMER	G3O-29447	Q12403	Emp24p/Erv25p Related Protein	
G3O-30699-MONOMER	G3O-30699	P40107	Vandate Resistance Glycosylation	
G3O-29264-MONOMER	G3O-29264	Q8TGU6	Unknown	
G3O-31839-MONOMER	G3O-31839	P32862	Restores Glucose Transport	
G3O-33699-MONOMER	G3O-33699	Q08561	Ino Eighty Subunit	
G3O-31642-MONOMER	G3O-31642	P40893	REgulation of Enolase	
G3O-34263-MONOMER	G3O-34263	Q06493	Yeast LETM1 Homolog of 47 kD	
G3O-34099-MONOMER	G3O-34099	Q08961	Ribosomal lysine (K) Methyltransferase	
G3O-32231-MONOMER	G3O-32231	Q12396	EMP46	
G3O-30540-MONOMER	G3O-30540	P53192	Guided Entry of Tailanchored proteins	
YDR353W-MONOMER	YDR353W	P29509	thioredoxin reductase	
G3O-31124-MONOMER	G3O-31124	P38798	Nonsense-mediated MRNA Decay	
G3O-29656-MONOMER	G3O-29656	Q03205	Unknown	
G3O-28870-MONOMER	G3O-28870	P39707	tRNA-splicing endonuclease subunit SEN34	
G3O-30908-MONOMER	G3O-30908	P50084	Bypasses Need for Spo12p	
G3O-32046-MONOMER	G3O-32046	P36162	Duo1 And Dam1 interacting	
G3O-32667-MONOMER	G3O-32667	Q02326	Ribosomal Protein of the Large subunit	
MONOMER3O-845	YHR074W	P38795		
YML074C-MONOMER	YML074C	P38911	peptidyl-prolyl cis-trans isomerase (PPIase)	
G3O-33077-MONOMER	G3O-33077	P53959	Conserved Oligomeric Golgi complex	
G3O-32439-MONOMER	G3O-32439	Q05933	ARp2/3 Complex subunit	
YIR032C-MONOMER	YIR032C	P32459		
G3O-29842-MONOMER	G3O-29842	P87284	Plasma Membrane Proteolipid	
G3O-31352-MONOMER	G3O-31352	P40497	Unknown	
G3O-29017-MONOMER	G3O-29017	P38228	TriCarboxylic acid cycle Mutant	
G3O-33473-MONOMER	G3O-33473	P53685	histone acetyllysine <i>N</i>-acetyltransferase HST1	Homolog of SIR Two (SIR2)
G3O-32880-MONOMER	G3O-32880	P36525	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33285-MONOMER	G3O-33285	P48563	MONensin sensitivity	
G3O-33841-MONOMER	G3O-33841	P32336	NUD1	
G3O-30049-MONOMER	G3O-30049	Q03049	YDR541C	
G3O-30265-MONOMER	G3O-30265	P33296	E2 ubiquitin-conjugating enzyme UBC6	UBiquitin-Conjugating
G3O-29248-MONOMER	G3O-29248	Q3E7A4	Cx9C Motif-Containing protein	
G3O-29431-MONOMER	G3O-29431	Q2V2Q2	Unknown	
G3O-33683-MONOMER	G3O-33683	Q3E7X9	Ribosomal Protein of the Small subunit	
G3O-30683-MONOMER	G3O-30683	P22137	Clathrin Heavy Chain	
G3O-31823-MONOMER	G3O-31823	P34241	Unhealthy Ribosome Biogenesis	
G3O-31626-MONOMER	G3O-31626	P09119	Cell Division Cycle	
G3O-34247-MONOMER	G3O-34247	Q06102	Yeast THirty kDa Homolog	
G3O-34083-MONOMER	G3O-34083	P38996	Nuclear polyAdenylated RNA-Binding	
G3O-30519-MONOMER	G3O-30519	Q3E817	Unknown	
G3O-32215-MONOMER	G3O-32215	P05749	Ribosomal Protein of the Large subunit	
G3O-29640-MONOMER	G3O-29640	P07284	SEryl-tRNA Synthetase	
YDR208W-MONOMER	YDR208W	P38994	phosphatidylinositol 4-phosphate kinase	
G3O-31108-MONOMER	G3O-31108	P38780	Unknown	
G3O-30892-MONOMER	G3O-30892	P42942	Unknown	
G3O-28854-MONOMER	G3O-28854	P39723	Spindle Pole Component	
G3O-32030-MONOMER	G3O-32030	P36145	Transcription Factor a, subunit 2	
MONOMER3O-58	G3O-1601	P32642	oxidized glutaredoxin 4	
G3O-32651-MONOMER	G3O-32651	Q04969	Signal Peptidase Complex	
G3O-32423-MONOMER	G3O-32423	Q06142	KAryoPherin	
YLR377C-MONOMER	YLR377C	P09201	fructose-1,6-bisphosphatase	
G3O-33061-MONOMER	G3O-33061	P53971	FKBP12-Associated Protein	
YIL107C-MONOMER	YIL107C	P40433	6-phosphofructose-2-kinase	
G3O-31335-MONOMER	G3O-31335	P32844	SECretory	
G3O-29826-MONOMER	G3O-29826	P38907	CHromosome Loss	
G3O-32864-MONOMER	G3O-32864	Q03214	ExtraCellular Mutant	
G3O-29001-MONOMER	G3O-29001	P38217	KAryoPherin	
G3O-33456-MONOMER	G3O-33456	Q08213	NGL1	
G3O-33269-MONOMER	G3O-33269	P53838	BORon transporter	
G3O-30033-MONOMER	G3O-30033	Q04408	Unknown	
G3O-33825-MONOMER	G3O-33825	Q08818	Meiotic Sister-Chromatid recombination	
G3O-30249-MONOMER	G3O-30249	P40051	intermediate cleaving peptidase 55	
G3O-29210-MONOMER	G3O-29210	P38152	Citrate Transport Protein	
G3O-33666-MONOMER	G3O-33666	Q02521	Suppressor of PrP	
G3O-29400-MONOMER	G3O-29400	P25646	Phosphatase Two C	
G3O-31610-MONOMER	G3O-31610	P39005	Killer toxin REsistant	
G3O-30667-MONOMER	G3O-30667	P53104	AuTophaGy related	
G3O-34067-MONOMER	G3O-34067	P21592	heme <i>o</i> synthase	heme <i>b</i> farnesyltransferase, protoheme IX farnesyltransferase, mitochondrial
G3O-31806-MONOMER	G3O-31806	Q3E775	Unknown	
G3O-30490-MONOMER	G3O-30490	P43615	Increased Recombination Centers	
G3O-34231-MONOMER	G3O-34231	P20424	Signal Recognition Particle	
G3O-29624-MONOMER	G3O-29624	P41920	Yeast Ran Binder	
YDR035W-MONOMER	YDR035W	P14843	3-deoxy-D-arabine-heptulosonate-7-phosphate synthase	
G3O-31092-MONOMER	G3O-31092	P38767	Ethionine Resistance Conferring	
G3O-30875-MONOMER	G3O-30875	P36421	TYrosyl-tRNA Synthetase	
G3O-32014-MONOMER	G3O-32014	P36136	SedoHeptulose 1,7-Bisphosphatase	
G3O-32202-MONOMER	G3O-32202	Q12253	YLR046C	
MONOMER3O-4031	YJL137C	P47011	glycogenin glucosyltransferase	
G3O-28838-MONOMER	G3O-28838	P39735	Single-strand Annealing Weakened	
G3O-32407-MONOMER	G3O-32407	Q06169	PEroXisome related	
G3O-32632-MONOMER	G3O-32632	P32500	Nuclear Division Cycle	
YLR284C-MONOMER	YLR284C	Q05871	&Delta;3,&Delta;2-enoyl-CoA isomerase	
YHR201C-MONOMER	YHR201C	P38698	exopolyphosphatase	
G3O-31319-MONOMER	G3O-31319	P40527	NEOmycin-resistance	
G3O-29810-MONOMER	G3O-29810	Q04947	ReTiculoN-like	
G3O-32848-MONOMER	G3O-32848	Q03799	Mitochondrial Ribosomal Protein, Small subunit	
G3O-33440-MONOMER	G3O-33440	Q08172	Unknown	
G3O-33809-MONOMER	G3O-33809	Q01926	Mitochondrial RNA Splicing	
YPR113W-MONOMER	YPR113W	P06197		
G3O-30233-MONOMER	G3O-30233	P17064	FluoroCYtosine resistance	
G3O-33253-MONOMER	G3O-33253	P38717	SNF1-Interacting Protein	
G3O-29384-MONOMER	G3O-29384	P25654	Unknown	
G3O-30017-MONOMER	G3O-30017	Q03430	Ribosomal Small subunit of Mitochondria	
G3O-29194-MONOMER	G3O-29194	P38349	UBiquitin regulatory X	
G3O-30651-MONOMER	G3O-30651	P53032	Sterol UpTake	
G3O-33650-MONOMER	G3O-33650	P38439	LEft Open reading frame	
G3O-31760-MONOMER	G3O-31760	P47174	Unknown	
G3O-34215-MONOMER	G3O-34215	Q12425	Iron Sulfur Assembly	
G3O-31594-MONOMER	G3O-31594	P14359	Sensitivity to NA+	
G3O-34051-MONOMER	G3O-34051	P28743	KInesin related Protein	
YDL141W-MONOMER	YDL141W	P48445	biotin:apoprotein ligase	
G3O-30474-MONOMER	G3O-30474	P39684	Polymerase Epsilon Suppressor	
G3O-31076-MONOMER	G3O-31076	P23624	SPOrulation	
G3O-29606-MONOMER	G3O-29606	P35197	Growth Cold Sensitive	
G3O-32185-MONOMER	G3O-32185	Q07963	RING-type E3 ubiquitin transferase UBR2	
G3O-30859-MONOMER	G3O-30859	P27476	NSR1	
G3O-28822-MONOMER	G3O-28822	P18410	SPOrulation	
G3O-31998-MONOMER	G3O-31998	P36118	NineTeen complex Related protein	
G3O-32616-MONOMER	G3O-32616	P54837	ER Vesicle	
MONOMER3O-36	YNL048W	P53954	DP-Man:Man<small><sub>3</sub></small>GlcNAc<small><sub>2</sub></small>-<em>PP</em>-dolichol &alpha;-1,2-mannosyltransferase	
YLR174W-MONOMER	YLR174W	P41939	NADP-dependent isocitrate dehydrogenase	
G3O-32390-MONOMER	G3O-32390	Q05899	Unknown	
G3O-29794-MONOMER	G3O-29794	P12612	Tailless Complex Polypeptide	
YHR068W-MONOMER	YHR068W	P38791	deoxyhypusine synthase	
G3O-33027-MONOMER	G3O-33027	Q3E760	Unknown	
G3O-31303-MONOMER	G3O-31303	P40318	RING-type E3 ubiquitin transferase DOA10	ERAD-associated E3 ubiquitin-protein ligase DOA10, Suppressor of mrna Stability Mutant, ERAD-associated E3 ubiquitin transferase DOA10
G3O-33424-MONOMER	G3O-33424	Q08054	Chitin Synthesis Involved	
G3O-32832-MONOMER	G3O-32832	P38615	Regulator of IME2	
G3O-30216-MONOMER	G3O-30216	P40023	Enhancer of mRNA DeCapping	
YPL212C-MONOMER	YPL212C	Q12211	tRNA pseudouridine synthase	
G3O-29368-MONOMER	G3O-29368	P25364	High-Copy suppressor of Calmodulin	
G3O-33237-MONOMER	G3O-33237	Q01532	Leucine AminoPeptidases	
G3O-30635-MONOMER	G3O-30635	P53120	Unknown	
G3O-30001-MONOMER	G3O-30001	Q03361	Jumonji domain Interacting Protein	
G3O-33796-MONOMER	G3O-33796	P09937	SPorulation Specific trancript	
G3O-29178-MONOMER	G3O-29178	P32570	Suppressor of RNA polymerase B	
G3O-31744-MONOMER	G3O-31744	P26783	Ribosomal Protein of the Small subunit	
G3O-34199-MONOMER	G3O-34199	P0CX25	Ribosomal Protein of the Large subunit	
G3O-33634-MONOMER	G3O-33634	P01119	homologous to RAS proto-oncogene	
G3O-31578-MONOMER	G3O-31578	P08018	Polymyxin B Sensitivity	
G3O-29755-MONOMER	G3O-29755	P89102	SECretory	
G3O-34035-MONOMER	G3O-34035	Q03016	Glc7 Interacting Protein	
YCR107W-MONOMER	YCR107W	P25612	aryl-alcohol dehydrogenase	
G3O-30458-MONOMER	G3O-30458	P43589	SnRNP Assembly Defective	
G3O-31060-MONOMER	G3O-31060	P38728	ExtraCellular Mutant	
G3O-29590-MONOMER	G3O-29590	P32495	Non-Histone Protein	
G3O-32168-MONOMER	G3O-32168	Q07913	Non-SMC Element	
G3O-30842-MONOMER	G3O-30842	P53281	Las Seventeen Binding protein	
G3O-32585-MONOMER	G3O-32585	P0CE99	Unknown	
G3O-31982-MONOMER	G3O-31982	Q02202	ExtraCellular Mutant	
YLR056W-MONOMER	YLR056W	P32353		
G3O-29778-MONOMER	G3O-29778	Q03940	RuVB-like	
MONOMER3O-27	YBR153W	P33312		
G3O-32374-MONOMER	G3O-32374	Q06217	SMD2	
G3O-32978-MONOMER	G3O-32978	P40302	PRoteinase yscE	
YHL011C-MONOMER	YHL011C	P38689	ribose-phosphate pyrophosphokinase	
G3O-33407-MONOMER	G3O-33407	Q3E7A8	Unknown	
G3O-30200-MONOMER	G3O-30200	P24384	Pre-mRNA Processing	
G3O-31287-MONOMER	G3O-31287	P40554	Ubiquitin Related Modifier	
G3O-32816-MONOMER	G3O-32816	Q03880	Pichia farinosa Killer toxin Resistance	
G3O-29352-MONOMER	G3O-29352	P0CY06	MATing type protein ALPHA	
G3O-33221-MONOMER	G3O-33221	P40154	Ino Eighty Subunit	
G3O-30619-MONOMER	G3O-30619	P32505	Nuclear polyAdenylated RNA-Binding	
G3O-29985-MONOMER	G3O-29985	Q03280	Temperature dependent Organization in Mitotic nucleus	
G3O-33780-MONOMER	G3O-33780	Q08747	Upstream Activation Factor subunit	
G3O-31727-MONOMER	G3O-31727	P35127	Yeast Ubiquitin Hydrolase	
G3O-29162-MONOMER	G3O-29162	P38325	Outer Membrane Protein of 14 kDa	
G3O-33618-MONOMER	G3O-33618	Q12043	triacylglycerol lipase	
G3O-34183-MONOMER	G3O-34183	Q12432	Esa1p-Associated Factor	
G3O-31560-MONOMER	G3O-31560	P32581	Inducer of MEiosis	
G3O-29739-MONOMER	G3O-29739	P39108	PEroXin	
G3O-34019-MONOMER	G3O-34019	Q02948	Vacuolar Protein Sorting	
G3O-31044-MONOMER	G3O-31044	P38741	Regulator of IME2	
G3O-30442-MONOMER	G3O-30442	P22943	Heat Shock Protein	
G3O-32152-MONOMER	G3O-32152	P0CD98	YLL053C	
G3O-29574-MONOMER	G3O-29574	Q05672	RNA-Binding Suppressor of PAS kinase	
YCL050C-MONOMER	YCL050C	P16550		
G3O-30826-MONOMER	G3O-30826	P48837	NUclear Pore	
G3O-32560-MONOMER	G3O-32560	Q3E764	Translation Machinery Associated	
G3O-31966-MONOMER	G3O-31966	P36039	Altered Inheritance rate of Mitochondria	
YKL216W-MONOMER	YKL216W	P28272	dihydroorotate dehydrogenase subunit	
MONOMER3O-175	G3O-137	P32626		Unidentified TRanscript
G3O-32962-MONOMER	G3O-32962	Q03554	GOlgi Transport	
G3O-33368-MONOMER	G3O-33368	P53750	YNR064C	
G3O-32358-MONOMER	G3O-32358	Q06568	NuDeL homolog	
YGR202C-MONOMER	YGR202C	P13259		
G3O-30184-MONOMER	G3O-30184	P39924	HeXose Transporter	
G3O-31270-MONOMER	G3O-31270	P0CX91	Unknown	
G3O-29336-MONOMER	G3O-29336	P23059	MAintenance of Killer	
G3O-30603-MONOMER	G3O-30603	P53142	Vacuolar Protein Sorting	
G3O-32800-MONOMER	G3O-32800	Q03162	MUlti Budding	
YOR219C-MONOMER	YOR219C	P33894	dipeptidyl aminopeptidase	
G3O-33764-MONOMER	G3O-33764	Q12033	Regulator of IME2	
G3O-33205-MONOMER	G3O-33205	P40168	Unknown	
G3O-31711-MONOMER	G3O-31711	P47129	Assembly Complementing Factor	
G3O-29969-MONOMER	G3O-29969	P32898	CYtosolic Metalloprotease	
G3O-34167-MONOMER	G3O-34167	Q01766	HALotolerance	
G3O-29146-MONOMER	G3O-29146	P38310	FTS3 Homolog	
G3O-29722-MONOMER	G3O-29722	P13185	KINase	
G3O-33601-MONOMER	G3O-33601	P19454	Casein Kinase Alpha' subunit	
G3O-31028-MONOMER	G3O-31028	P38751	Suppressor of HU sensitivity	
G3O-31542-MONOMER	G3O-31542	P19658	EXOcyst	
